City,State,Latitude,Longitude
Edinburg, Texas, 26.3017374, -98.1633432
Norman, Oklahoma, 35.2225668, -97.4394777
Oklahoma City, Oklahoma, 35.4675602, -97.5164276
Edmond, Oklahoma, 35.6528323, -97.4780954
Enid, Oklahoma, 36.3955891, -97.8783911
Topeka, Kansas, 39.0558235, -95.6890185
Kansas City, Kansas, 39.114053, -94.6274636
St. Joseph, Missouri, 39.7674578, -94.846681
Des Moines, Iowa, 41.6005448, -93.6091064
Ames, Iowa, 42.034722, -93.62
Cedar Falls, Iowa, 42.5348993, -92.4453161
Burnsville, Minnesota, 44.7677424, -93.2777226
Eagan, Minnesota, 44.8041322, -93.1668858
Maplewood, Minnesota, 44.9530215, -92.9952153
Coon Rapids, Minnesota, 45.1732394, -93.3030063
Maple Grove, Minnesota, 45.0724642, -93.4557877
Plymouth, Minnesota, 45.0105194, -93.4555093
Minnetonka, Minnesota, 44.9211836, -93.4687489
Shakopee, Minnesota, 44.7973962, -93.5272861
Duluth, Minnesota, 46.7866719, -92.1004852
Wausau, Wisconsin, 44.9591352, -89.6301221
Milwaukee, Wisconsin, 43.0389025, -87.9064736
Wheeling, Illinois, 42.1391927, -87.9289591
Schaumburg, Illinois, 42.0333607, -88.0834059
Hanover Park, Illinois, 41.9994722, -88.1450735
Carpentersville, Illinois, 42.1211364, -88.2578582
Calumet City, Illinois, 41.6155909, -87.5294871
South Bend, Indiana, 41.6763545, -86.2519898
Noblesville, Indiana, 40.0455917, -86.0085955
Lawrence, Indiana, 39.8386516, -86.0252612
Cincinnati, Ohio, 39.1031182, -84.5120196
Kettering, Ohio, 39.6895036, -84.1688274
Dayton, Ohio, 39.7589478, -84.1916069
Huber Heights, Ohio, 39.843947, -84.1246608
Toledo, Ohio, 41.6639383, -83.555212
Ann Arbor, Michigan, 42.2808256, -83.7430378
Livonia, Michigan, 42.36837, -83.3527097
Lincoln Park, Michigan, 42.2505943, -83.1785361
Royal Oak, Michigan, 42.4894801, -83.1446485
Warren, Michigan, 42.5144566, -83.0146526
Troy, Michigan, 42.6064095, -83.1497751
East Lansing, Michigan, 42.7369792, -84.4838654
Cleveland, Ohio, 41.49932, -81.6943605
Akron, Ohio, 41.0814447, -81.5190053
Youngstown, Ohio, 41.0997803, -80.6495194
Erie, Pennsylvania, 42.1292241, -80.085059
Buffalo, New York, 42.8864468, -78.8783689
Altoona, Pennsylvania, 40.5186809, -78.3947359
Hagerstown, Maryland, 39.6417629, -77.7199932
Frederick, Maryland, 39.4142688, -77.4105409
Gaithersburg, Maryland, 39.1434406, -77.2013705
Washington, District of Columbia, 38.9071923, -77.0368707
Bowie, Maryland, 39.0067768, -76.7791365
Annapolis, Maryland, 38.9784453, -76.4921829
Camden, New Jersey, 39.9259463, -75.1196199
Allentown, Pennsylvania, 40.6084305, -75.4901833
New Brunswick, New Jersey, 40.4862157, -74.4518188
Perth Amboy, New Jersey, 40.5067723, -74.2654234
Union City, New Jersey, 40.6975898, -74.2631635
East Orange, New Jersey, 40.767323, -74.2048677
New York, New York, 40.7127837, -74.0059413
Yonkers, New York, 40.9312099, -73.8987469
New Rochelle, New York, 40.9114882, -73.7823549
White Plains, New York, 41.0339862, -73.7629097
Norwalk, Connecticut, 41.117744, -73.4081575
Danbury, Connecticut, 41.394817, -73.4540111
Shelton, Connecticut, 41.3164856, -73.0931641
Waterbury, Connecticut, 41.5581525, -73.0514965
Springfield, Massachusetts, 42.1014831, -72.589811
Worcester, Massachusetts, 42.2625932, -71.8022934
Fitchburg, Massachusetts, 42.5834228, -71.8022955
Nashua, New Hampshire, 42.7653662, -71.467566
Haverhill, Massachusetts, 42.7762015, -71.0772796
Peabody, Massachusetts, 42.5278731, -70.9286609
Malden, Massachusetts, 42.4250964, -71.066163
Cambridge, Massachusetts, 42.3736158, -71.1097335
Newton, Massachusetts, 42.3370413, -71.2092214
Waltham, Massachusetts, 42.3764852, -71.2356113
Woburn, Massachusetts, 42.4792618, -71.1522765
Woonsocket, Rhode Island, 42.0028761, -71.5147839
Providence, Rhode Island, 41.8239891, -71.4128343
New Bedford, Massachusetts, 41.6362152, -70.934205
Hempstead, New York, 40.7062128, -73.6187397
Atlantic City, New Jersey, 39.3642834, -74.4229266
Scranton, Pennsylvania, 41.408969, -75.6624122
Schenectady, New York, 42.8142432, -73.9395687
Charlottesville, Virginia, 38.0293059, -78.4766781
Lynchburg, Virginia, 37.4137536, -79.1422464
Roanoke, Virginia, 37.2709704, -79.9414266
Chapel Hill, North Carolina, 35.9131996, -79.0558445
Raleigh, North Carolina, 35.7795897, -78.6381787
Greenville, North Carolina, 35.612661, -77.3663538
Wilmington, North Carolina, 34.2257255, -77.9447102
Mount Pleasant, South Carolina, 32.8323225, -79.8284258
Goose Creek, South Carolina, 32.9810059, -80.0325867
Hilton Head Island, South Carolina, 32.216316, -80.752608
Columbia, South Carolina, 34.0007104, -81.0348144
Spartanburg, South Carolina, 34.9495672, -81.9320482
Macon, Georgia, 32.8406946, -83.6324022
Columbus, Georgia, 32.4609764, -84.9877094
Auburn, Alabama, 32.6098566, -85.4807825
Montgomery, Alabama, 32.3668052, -86.2999689
Dothan, Alabama, 31.2232313, -85.3904888
Valdosta, Georgia, 30.8327022, -83.2784851
Jacksonville, Florida, 30.3321838, -81.655651
Sanford, Florida, 28.8028612, -81.269453
Orlando, Florida, 28.5383355, -81.3792365
Titusville, Florida, 28.6122187, -80.8075537
Pinellas Park, Florida, 27.8428025, -82.6995443
Fort Myers, Florida, 26.640628, -81.8723084
Bonita Springs, Florida, 26.339806, -81.7786972
Weston, Florida, 26.1003654, -80.3997748
Miramar, Florida, 25.9860762, -80.3035602
Hialeah, Florida, 25.8575963, -80.2781057
North Miami Beach, Florida, 25.9331488, -80.1625463
Coral Gables, Florida, 25.72149, -80.2683838
Homestead, Florida, 25.4687224, -80.4775569
Delray Beach, Florida, 26.4614625, -80.0728201
Wellington, Florida, 26.6617635, -80.2683571
Mobile, Alabama, 30.6953657, -88.0398912
Gulfport, Mississippi, 30.3674198, -89.0928155
Hattiesburg, Mississippi, 31.3271189, -89.2903392
Southaven, Mississippi, 34.9889818, -90.0125913
Germantown, Tennessee, 35.0867577, -89.8100858
Collierville, Tennessee, 35.042036, -89.6645266
North Little Rock, Arkansas, 34.769536, -92.2670941
Little Rock, Arkansas, 34.7464809, -92.2895948
Cape Girardeau, Missouri, 37.3058839, -89.5181476
Florissant, Missouri, 38.789217, -90.322614
St. Peters, Missouri, 38.7874699, -90.6298922
Jefferson City, Missouri, 38.5767017, -92.1735164
Columbia, Missouri, 38.9517053, -92.3340724
Springfield, Illinois, 39.7817213, -89.6501481
Decatur, Illinois, 39.8403147, -88.9548001
Bloomington, Illinois, 40.4842027, -88.9936873
Franklin, Tennessee, 35.9250637, -86.8688899
Smyrna, Tennessee, 35.9828412, -86.5186045
Murfreesboro, Tennessee, 35.8456213, -86.39027
Madison, Alabama, 34.6992579, -86.7483318
Norfolk, Virginia, 36.8507689, -76.2858726
Grand Island, Nebraska, 40.9263957, -98.3420118
Rapid City, South Dakota, 44.0805434, -103.2310149
Casper, Wyoming, 42.866632, -106.313081
Fort Collins, Colorado, 40.5852602, -105.084423
Loveland, Colorado, 40.3977612, -105.0749801
Commerce City, Colorado, 39.8083196, -104.9338675
Denver, Colorado, 39.7392358, -104.990251
Aurora, Colorado, 39.7294319, -104.8319195
Castle Rock, Colorado, 39.3722121, -104.8560902
Draper, Utah, 40.5246711, -111.8638226
Riverton, Utah, 40.521893, -111.9391023
Logan, Utah, 41.7369803, -111.8338359
Idaho Falls, Idaho, 43.4916514, -112.0339645
Bozeman, Montana, 45.6769979, -111.0429339
Missoula, Montana, 46.8787176, -113.996586
Coeur d'Alene, Idaho, 47.6776832, -116.7804664
Spokane Valley, Washington, 47.6732281, -117.2393748
Yakima, Washington, 46.6020711, -120.5058987
Auburn, Washington, 47.3073228, -122.2284532
Bellevue, Washington, 47.610377, -122.2006786
Kirkland, Washington, 47.6814875, -122.2087353
Redmond, Washington, 47.6739881, -122.121512
Everett, Washington, 47.9789848, -122.2020794
Marysville, Washington, 48.0517637, -122.1770818
Keizer, Oregon, 44.9901194, -123.0262077
Eugene, Oregon, 44.0520691, -123.0867536
Bend, Oregon, 44.0581728, -121.3153096
Medford, Oregon, 42.3265152, -122.8755949
Reno, Nevada, 39.5296329, -119.8138027
Nampa, Idaho, 43.5407172, -116.5634624
St. George, Utah, 37.0965278, -113.5684164
San Francisco, California, 37.7749295, -122.4194155
